Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Israel,1991,"Herzlyia, 35km north of Tel Aviv",34.796448,32.172125,35,by trawler,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2008,Kalymnos isl.,26.989574,36.948173,0, ,3, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2012,Al Minie,35.913056,34.490556,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2012,Al Minie,35.913056,34.490556,30,corraligenous bottom,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2013,Limassol,33.052883,34.677406,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2013,"Amathounta, Limassol",33.137147,34.708123,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2013,Xylophagou ,33.820038,34.961372,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2013,Jounieh,35.63062,34.003343,0,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2013,Tripoli,35.744914,34.436296,0,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,25,Rocky,3, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,Ormideia,33.7725,34.97916667,10, ,2, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,32,Rocky,2, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,30,Rocky,2, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,Kas,29.635135,36.192845,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,Demre,29.965115,36.200577,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,South Aegean Sea,30.165245,36.267185,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,"Adrasan, Antalya",30.41,36.21,22, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,Kemer,30.567055,36.604504,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,Antalya,30.916667,36.833333,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,"Gazipa?a, Antalya",32.31666667,36.21666667,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,Limassol,33.035833,34.68,0,fishmarket,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,Limassol Marina (external side of  wave breakers),33.04,34.665,15,Artificial hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,"Vasiliko Port (external side of wave breakers), Larnaca
",33.316667,34.715,5,Artificial hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,"Cape Kiti, Larnaca",33.605,34.811667,10,natural hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,"Cape Kiti, Larnaca",33.64,34.826667,43,natural hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,"Near Ayia Napa port, Famagusta",34.005,34.98,10,natural hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,"2 km from Ayia Napa port towards Cape Greco, Famagusta
",34.03,34.973333,11,natural hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2014,Cape Greco,34.075346,34.96429,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,Beirut,35.454385,33.887798,0,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.484831,33.905473,25,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,Beirut,35.484831,33.905473,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,27,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,32,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,24,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,AUB wall,35.48484,33.904784,23,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,Byblos,35.621434,34.130766,37,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2014,Batroun,35.626613,34.101266,22,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,Iskenderun bay,35.747452,36.26957,25,rocky bottom,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2014,"Kelda?, Hatay",35.92,35.95,8, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Kriti: off Kavo Sidero (NE Kriti),26.328056,35.317778,0, ,2, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Beirut,35.484831,33.905473,21,Rocky,2, ,Dimitriadis et al. 2020
Pterois miles,Tunisia,2015,Zembra isl.,10.8797,37.1046,5,very shallow waters,1,gillnet,Dimitriadis et al. 2020
Pterois miles,Tunisia,2015,Haouaria (Cape Bon),10.995713,37.061323,2,very shallow waters,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,27.100619,38.434523,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Rodos: Plimmiri,27.8566,35.9194,0, ,1,scuba diving,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Rodos: Psaropoula,28.2181,36.4539,2, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Rodos: Kolonna Port,28.23017,36.444293,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Rodos: Kallithea,28.2458,36.3855,7,sandy bottom,1,scuba diving,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Rodos: Kallithea,28.2458,36.3855,5, ,1,nderwater photos ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,28.582734,36.776034,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,Dalyan,28.595139,36.796365,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,Fethiye,29.091667,36.644444,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Kalkan, Antalya",29.41,36.25,18, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,29.630391,36.168904,0, ,1,Underwater observation,Dimitriadis et al. 2020
