trajectory,time,lat,lon,z,age,bathy,distance,obs,traj,Date
96,214099200,34.89629364013672,25.647241592407227,0,26,294.4531555175781,925.39154052734375,27,97,2018-10-14T00:00:00Z
108,214617600,34.991668701171875,25.671842575073242,0,26,231.9915008544922,940.425048828125,27,109,2018-10-20T00:00:00Z
99,195868800,34.8945198059082,25.675514221191406,0,26,216.5528106689453,940.891357421875,27,100,2018-03-17T00:00:00Z
91,195523200,34.879966735839844,25.716676712036133,0,26,178.26593017578125,881.0787353515625,27,92,2018-03-13T00:00:00Z
99,195868800,34.82389831542969,25.717079162597656,0,26,301.199462890625,890.49072265625,27,100,2018-03-17T00:00:00Z
917,202953600,34.84013748168945,25.721439361572266,0,26,215.0716094970703,888.1822509765625,27,918,2018-06-07T00:00:00Z
5143,207532800,34.89119338989258,25.735504150390625,0,26,203.7104034423828,882.8353271484375,27,5144,2018-07-30T00:00:00Z
96,214099200,34.907527923583984,25.7359619140625,0,26,307.3327331542969,924.37957763671875,27,97,2018-10-14T00:00:00Z
96,214099200,34.907283782958984,25.74500274658203,0,26,304.84649658203125,937.30194091796875,27,97,2018-10-14T00:00:00Z
96,214099200,34.88818359375,25.764108657836914,0,26,246.4982147216797,905.02301025390625,27,97,2018-10-14T00:00:00Z
105,196128000,34.86194610595703,25.778186798095703,0,26,229.5872344970703,903.3504638671875,27,106,2018-03-20T00:00:00Z
96,214099200,34.88261032104492,25.789125442504883,0,26,307.9958190917969,899.05584716796875,27,97,2018-10-14T00:00:00Z
99,214185600,34.849822998046875,25.79218101501465,0,26,274.6791687011719,918.9259033203125,27,100,2018-10-15T00:00:00Z
99,195868800,34.994537353515625,25.83070945739746,0,26,282.5066223144531,894.17083740234375,27,100,2018-03-17T00:00:00Z
3932,206236800,35.01960754394531,25.84652328491211,0,26,14.633214950561523,864.8013916015625,27,3933,2018-07-15T00:00:00Z
100,195955200,34.999595642089844,25.8482723236084,0,26,256.59002685546875,901.71295166015625,27,101,2018-03-18T00:00:00Z
3936,206236800,35.00948715209961,25.872879028320313,0,26,158.20095825195312,873.9229736328125,27,3937,2018-07-15T00:00:00Z
